prop_name,monthly_rent,location,property_type,rooms,parking,bathroom,size,district
Majestic Maxim,1400,Kuala Lumpur - Cheras,Service Residence,3.0,2.0,2.0,819 sq.ft.,Kuala Lumpur
The Nest Residences,1600,Kuala Lumpur - Old Klang Road,Condominium,2.0,1.0,2.0,755 sq.ft.,Kuala Lumpur
Seri Mas (Cheras),1300,Kuala Lumpur - Cheras,Condominium,3.0,1.0,2.0,865 sq.ft.,Kuala Lumpur
Mentari Condominium,1699,Kuala Lumpur - Cheras,Condominium,3.0,1.0,2.0,1025 sq.ft.,Kuala Lumpur
Laman Tasik,1900,Kuala Lumpur - Cheras,Condominium,4.0,,3.0,1280 sq.ft.,Kuala Lumpur
Pinang 1B Gallery 1E,1200,Kuala Lumpur - Old Klang Road,Apartment,3.0,1.0,2.0,829 sq.ft.,Kuala Lumpur
PV 10 Platinum Lake Condominium,2000,Kuala Lumpur - Setapak,Condominium,4.0,,2.0,1272 sq.ft.,Kuala Lumpur
Suasana Lumayan,1550,Kuala Lumpur - Cheras,Condominium,4.0,1.0,2.0,1142 sq.ft.,Kuala Lumpur
Wangsa Heights,1100,Kuala Lumpur - Ampang,Condominium,3.0,1.0,1.0,958 sq.ft.,Kuala Lumpur
Seri Mas (Cheras),1250,Kuala Lumpur - Cheras,Condominium,3.0,1.0,2.0,865 sq.ft.,Kuala Lumpur
Majestic Maxim,1100,Kuala Lumpur - Cheras,Service Residence,2.0,1.0,2.0,900 sq.ft.,Kuala Lumpur
Residensi Razakmas,900,Kuala Lumpur - Cheras,Apartment,3.0,,2.0,850 sq.ft.,Kuala Lumpur
UNA Serviced Apartment @ Peel,3200,Kuala Lumpur - Cheras,Service Residence,2.0,1.0,1.0,807 sq.ft.,Kuala Lumpur
The Meritz,4500,Kuala Lumpur - Ampang,Condominium,2.0,,2.0,1400 sq.ft.,Kuala Lumpur
Avenue Court,1250,Kuala Lumpur - Old Klang Road,Apartment,3.0,,2.0,973 sq.ft.,Kuala Lumpur
Residency V,2200,Kuala Lumpur - Old Klang Road,Service Residence,3.0,2.0,2.0,910 sq.ft.,Kuala Lumpur
3 Residen,2500,Kuala Lumpur - Taman Melawati,Condominium,2.0,,2.0,1100 sq.ft.,Kuala Lumpur
Berlian Residence @ Setapak,1400,Kuala Lumpur - Setapak,Condominium,3.0,1.0,2.0,900 sq.ft.,Kuala Lumpur
Midah Ria,1300,Kuala Lumpur - Cheras,Condominium,3.0,1.0,2.0,967 sq.ft.,Kuala Lumpur
Lavile,2800,Kuala Lumpur - Cheras,Service Residence,3.0,,2.0,1064 sq.ft.,Kuala Lumpur
Lavile,3200,Kuala Lumpur - Cheras,Service Residence,3.0,,2.0,864 sq.ft.,Kuala Lumpur
Putra Villa,1750,Kuala Lumpur - Setapak,Condominium,3.0,,2.0,1066 sq.ft.,Kuala Lumpur
Majestic Maxim,1400,Kuala Lumpur - Cheras,Service Residence,2.0,1.0,2.0,650 sq.ft.,Kuala Lumpur
CitiZen,2600,Kuala Lumpur - Old Klang Road,Condominium,4.0,2.0,2.0,1133 sq.ft.,Kuala Lumpur
Putra Villa,1799,Kuala Lumpur - Setapak,Condominium,3.0,2.0,2.0,1066 sq.ft.,Kuala Lumpur
Ketumbar Heights,1400,Kuala Lumpur - Cheras,Condominium,3.0,1.0,2.0,760 sq.ft.,Kuala Lumpur
Taman Pertama (Cheras),850,Kuala Lumpur - Cheras,Flat,2.0,,1.0,560 sq.ft.,Kuala Lumpur
The Scott Garden,1250,Kuala Lumpur - Old Klang Road,Duplex,1.0,1.0,2.0,775 sq.ft.,Kuala Lumpur
Prima Setapak,1300,Kuala Lumpur - Setapak,Condominium,3.0,1.0,2.0,1231 sq.ft.,Kuala Lumpur
Vista Langkawi @ Residensi PV 18,1300,Kuala Lumpur - Setapak,Service Residence,3.0,,2.0,900 sq.ft.,Kuala Lumpur
Residency V,2200,Kuala Lumpur - Old Klang Road,Service Residence,3.0,2.0,2.0,909 sq.ft.,Kuala Lumpur
Sutera Maya,1700,Kuala Lumpur - Old Klang Road,Condominium,4.0,2.0,2.0,1341 sq.ft.,Kuala Lumpur
Residence 8,1000,Kuala Lumpur - Old Klang Road,Studio,1.0,,1.0,350 sq.ft.,Kuala Lumpur
Emerald Hills,2000,Kuala Lumpur - Cheras,Condominium,2.0,2.0,2.0,893 sq.ft.,Kuala Lumpur
Taman Cheras Mewah,700,Kuala Lumpur - Cheras,Flat,3.0,1.0,1.0,700 sq.ft.,Kuala Lumpur
The Reach @ Titiwangsa,2800,Kuala Lumpur - Setapak,Condominium,3.0,2.0,3.0,1387 sq.ft.,Kuala Lumpur
The Nest Residence @ Genting Klang,1800,Kuala Lumpur - Setapak,Service Residence,3.0,,2.0,1000 sq.ft.,Kuala Lumpur
J.dupion,3100,Kuala Lumpur - Cheras,Condominium,3.0,2.0,2.0,1125 sq.ft.,Kuala Lumpur
Maxim Residences,1300,Kuala Lumpur - Cheras,Service Residence,3.0,2.0,2.0,1050 sq.ft.,Kuala Lumpur
Strawberry Court Apartment,600,Kuala Lumpur - Cheras,Flat,3.0,,1.0,729 sq.ft.,Kuala Lumpur
Vista Amani,1500,Kuala Lumpur - Cheras,Condominium,4.0,,2.0,1120 sq.ft.,Kuala Lumpur
Segar Apartments,1000,Kuala Lumpur - Cheras,Apartment,3.0,1.0,2.0,770 sq.ft.,Kuala Lumpur
Residensi Vista Wirajaya,1700,Kuala Lumpur - Setapak,Apartment,3.0,1.0,2.0,885 sq.ft.,Kuala Lumpur
Flat Taman Melati,800,Kuala Lumpur - Setapak,Flat,2.0,,1.0,560 sq.ft.,Kuala Lumpur
Pertiwi Indah,1600,Kuala Lumpur - Cheras,Condominium,3.0,1.0,2.0,1285 sq.ft.,Kuala Lumpur
Ketumbar Heights,1500,Kuala Lumpur - Cheras,Condominium,3.0,1.0,2.0,765 sq.ft.,Kuala Lumpur
Majestic Maxim,1400,Kuala Lumpur - Cheras,Service Residence,2.0,2.0,2.0,650 sq.ft.,Kuala Lumpur
Majestic Maxim,1300,Kuala Lumpur - Cheras,Service Residence,2.0,,2.0,650 sq.ft.,Kuala Lumpur
Platinum Teratai Residence,1600,Kuala Lumpur - Setapak,Condominium,3.0,1.0,2.0,928 sq.ft.,Kuala Lumpur
Kenari Court,1300,Kuala Lumpur - Ampang,Apartment,3.0,1.0,2.0,750 sq.ft.,Kuala Lumpur
Angkasa Condominiums,1600,Kuala Lumpur - Cheras,Condominium,3.0,1.0,2.0,920 sq.ft.,Kuala Lumpur
3 Residen,2600,Kuala Lumpur - Taman Melawati,Condominium,2.0,2.0,2.0,1206 sq.ft.,Kuala Lumpur
Majestic Maxim,1400,Kuala Lumpur - Cheras,Service Residence,3.0,2.0,2.0,819 sq.ft.,Kuala Lumpur
Majestic Maxim,1300,Kuala Lumpur - Cheras,Service Residence,2.0,1.0,2.0,650 sq.ft.,Kuala Lumpur
Majestic Maxim,1300,Kuala Lumpur - Cheras,Service Residence,2.0,2.0,2.0,650 sq.ft.,Kuala Lumpur
Maxim Residences,1400,Kuala Lumpur - Cheras,Service Residence,3.0,2.0,2.0,1050 sq.ft.,Kuala Lumpur
Majestic Maxim,1700,Kuala Lumpur - Cheras,Service Residence,3.0,2.0,2.0,819 sq.ft.,Kuala Lumpur
The Elements,2100,Kuala Lumpur - Ampang,Service Residence,2.0,1.0,2.0,950 sq.ft.,Kuala Lumpur
Majestic Maxim,1400,Kuala Lumpur - Cheras,Service Residence,2.0,2.0,2.0,650 sq.ft.,Kuala Lumpur
Majestic Maxim,1500,Kuala Lumpur - Cheras,Service Residence,3.0,2.0,2.0,819 sq.ft.,Kuala Lumpur
Majestic Maxim,1600,Kuala Lumpur - Cheras,Service Residence,2.0,1.0,2.0,650 sq.ft.,Kuala Lumpur
Majestic Maxim,1500,Kuala Lumpur - Cheras,Service Residence,2.0,1.0,2.0,650 sq.ft.,Kuala Lumpur
Prisma Cheras,1100,Kuala Lumpur - Cheras,Condominium,1.0,1.0,1.0,900 sq.ft.,Kuala Lumpur
The Holmes,2200,Kuala Lumpur - Cheras,Condominium,3.0,2.0,2.0,1018 sq.ft.,Kuala Lumpur
Manor Apartment,1300,Kuala Lumpur - Cheras,Apartment,3.0,,2.0,900 sq.ft.,Kuala Lumpur
Megan Setapak,1200,Kuala Lumpur - Setapak,Flat,3.0,,2.0,1000 sq.ft.,Kuala Lumpur
Sky Awani Residensi 4,1500,Kuala Lumpur - Setapak,Condominium,3.0,1.0,2.0,800 sq.ft.,Kuala Lumpur
Perdana Villa (Pandan Perdana),1180,Kuala Lumpur - Cheras,Apartment,3.0,,2.0,806 sq.ft.,Kuala Lumpur
Bennington Residences @ SkyArena,1999,Kuala Lumpur - Setapak,Condominium,3.0,2.0,2.0,1100 sq.ft.,Kuala Lumpur
The Nest Residence @ Genting Klang,1799,Kuala Lumpur - Setapak,Condominium,3.0,1.0,2.0,1000 sq.ft.,Kuala Lumpur
KL Traders Square,1450,Kuala Lumpur - Setapak,Condominium,4.0,1.0,2.0,940 sq.ft.,Kuala Lumpur
Putra Suria Residence,1350,Kuala Lumpur - Cheras,Condominium,3.0,1.0,2.0,748 sq.ft.,Kuala Lumpur
Taman Connaught,1500,Kuala Lumpur - Cheras,Condominium,2.0,1.0,2.0,650 sq.ft.,Kuala Lumpur
Flat Danau Kota,950,Kuala Lumpur - Setapak,Apartment,3.0,,1.0,700 sq.ft.,Kuala Lumpur
Heritage Condominiun,1600,Kuala Lumpur - Setapak,Condominium,3.0,1.0,2.0,1280 sq.ft.,Kuala Lumpur
M3 Residency,1700,Kuala Lumpur - Setapak,Service Residence,3.0,,2.0,810 sq.ft.,Kuala Lumpur
The Elements,2100,Kuala Lumpur - Ampang,Service Residence,2.0,,2.0,950 sq.ft.,Kuala Lumpur
PV9 Residences @ Taman Melati,2200,Kuala Lumpur - Setapak,Service Residence,3.0,2.0,2.0,1000 sq.ft.,Kuala Lumpur
Pertama Residency,1500,Kuala Lumpur - Cheras,Condominium,1.0,,1.0,700 sq.ft.,Kuala Lumpur
Cendana Apartment,900,Kuala Lumpur - Cheras,Apartment,3.0,,2.0,660 sq.ft.,Kuala Lumpur
Emerald Hills,2000,Kuala Lumpur - Cheras,Condominium,2.0,2.0,2.0,893 sq.ft.,Kuala Lumpur
Prisma Cheras,1000,Kuala Lumpur - Cheras,Condominium,1.0,1.0,1.0,720 sq.ft.,Kuala Lumpur
Residensi Vista Wirajaya,1700,Kuala Lumpur - Setapak,Apartment,3.0,1.0,2.0,885 sq.ft.,Kuala Lumpur
288 Residency,2450,Kuala Lumpur - Setapak,Condominium,4.0,2.0,4.0,1896 sq.ft.,Kuala Lumpur
Majestic Maxim,1500,Kuala Lumpur - Cheras,Service Residence,2.0,1.0,2.0,650 sq.ft.,Kuala Lumpur
Majestic Maxim,1600,Kuala Lumpur - Cheras,Service Residence,2.0,1.0,2.0,650 sq.ft.,Kuala Lumpur
Seri sentosa old Klang road,650,Kuala Lumpur - Old Klang Road,Apartment,3.0,,1.0,750 sq.ft.,Kuala Lumpur
The Loft @ ZetaPark,1250,Kuala Lumpur - Setapak,Condominium,1.0,1.0,1.0,660 sq.ft.,Kuala Lumpur
3 Towers,2300,Kuala Lumpur - Ampang Hilir,Service Residence,1.0,,2.0,850 sq.ft.,Kuala Lumpur
M3 Residency,1500,Kuala Lumpur - Setapak,Service Residence,3.0,1.0,2.0,807 sq.ft.,Kuala Lumpur
Residensi Platinum Teratai,2000,Kuala Lumpur - Setapak,Condominium,3.0,1.0,2.0,928 sq.ft.,Kuala Lumpur
Midah Ria,1350,Kuala Lumpur - Cheras,Condominium,3.0,1.0,2.0,967 sq.ft.,Kuala Lumpur
Awana Puri Condominiums,1450,Kuala Lumpur - Cheras,Condominium,3.0,1.0,2.0,1100 sq.ft.,Kuala Lumpur
Kenari Apartment (Taman Melati),1200,Kuala Lumpur - Setapak,Apartment,3.0,,2.0,900 sq.ft.,Kuala Lumpur
Putra Villa,1800,Kuala Lumpur - Setapak,Condominium,3.0,,2.0,1076 sq.ft.,Kuala Lumpur
Serini Melawati,1600,Kuala Lumpur - Taman Melawati,Service Residence,2.0,2.0,1.0,630 sq.ft.,Kuala Lumpur
Residensi Vista Wirajaya,1600,Kuala Lumpur - Setapak,Apartment,3.0,1.0,2.0,885 sq.ft.,Kuala Lumpur
Maxim Residences,1400,Kuala Lumpur - Cheras,Service Residence,3.0,2.0,2.0,1050 sq.ft.,Kuala Lumpur
Sutera Maya,1500,Kuala Lumpur - Old Klang Road,Condominium,4.0,2.0,2.0,1341 sq.ft.,Kuala Lumpur
Residensi Vista Wirajaya,1700,Kuala Lumpur - Setapak,Apartment,3.0,1.0,2.0,850 sq.ft.,Kuala Lumpur
Cheras Ria,700,Kuala Lumpur - Cheras,Flat,3.0,,1.0,700 sq.ft.,Kuala Lumpur
Seri Mas (Cheras),1300,Kuala Lumpur - Cheras,Condominium,3.0,,2.0,865 sq.ft.,Kuala Lumpur
Residensi Vista Wirajaya,1500,Kuala Lumpur - Setapak,Apartment,3.0,1.0,2.0,850 sq.ft.,Kuala Lumpur
Pearl Suria,2600,Kuala Lumpur - Old Klang Road,Condominium,3.0,2.0,2.0,1150 sq.ft.,Kuala Lumpur
Residensi Vista Wirajaya,1800,Kuala Lumpur - Setapak,Apartment,3.0,1.0,2.0,885 sq.ft.,Kuala Lumpur
Vista Amani,1600,Kuala Lumpur - Cheras,Condominium,4.0,1.0,2.0,1101 sq.ft.,Kuala Lumpur
D'Suria Condominium,2400,Kuala Lumpur - Ampang,Condominium,4.0,2.0,3.0,1264 sq.ft.,Kuala Lumpur
Mentari Condominium,1700,Kuala Lumpur - Cheras,Condominium,3.0,1.0,2.0,1025 sq.ft.,Kuala Lumpur
Kenari Court,1200,Kuala Lumpur - Ampang,Apartment,3.0,,2.0,850 sq.ft.,Kuala Lumpur
Majestic Maxim,1400,Kuala Lumpur - Cheras,Service Residence,2.0,2.0,2.0,650 sq.ft.,Kuala Lumpur
Majestic Maxim,1000,Kuala Lumpur - Cheras,Service Residence,2.0,1.0,2.0,655 sq.ft.,Kuala Lumpur
Desa Tun Razak,750,Kuala Lumpur - Cheras,Apartment,2.0,1.0,1.0,700 sq.ft.,Kuala Lumpur
Taman Connaught,1700,Kuala Lumpur - Cheras,Condominium,3.0,1.0,2.0,819 sq.ft.,Kuala Lumpur
Riverville Residences,2600,Kuala Lumpur - Old Klang Road,Condominium,3.0,,3.0,2100 sq.ft.,Kuala Lumpur
Bukit Pandan 2,1400,Kuala Lumpur - Cheras,Condominium,2.0,,2.0,1124 sq.ft.,Kuala Lumpur
Flat Taman Melati,950,Kuala Lumpur - Setapak,Flat,2.0,1.0,1.0,580 sq.ft.,Kuala Lumpur
Taman Segar,730,Kuala Lumpur - Cheras,Flat,3.0,1.0,2.0,650 sq.ft.,Kuala Lumpur
Connaught Avenue,1500,Kuala Lumpur - Cheras,Service Residence,3.0,1.0,2.0,950 sq.ft.,Kuala Lumpur
Majestic Maxim,1500,Kuala Lumpur - Cheras,Service Residence,2.0,1.0,2.0,680 sq.ft.,Kuala Lumpur
Majestic Maxim,900,Kuala Lumpur - Cheras,Service Residence,3.0,1.0,2.0,780 sq.ft.,Kuala Lumpur
KL Traders Square Residences,2200,Kuala Lumpur - Gombak,Service Residence,4.0,2.0,2.0,1049 sq.ft.,Kuala Lumpur
Dahlia Apartment (Ampang),1100,Kuala Lumpur - Ampang,Apartment,3.0,1.0,2.0,782 sq.ft.,Kuala Lumpur
Cendana Apartment,900,Kuala Lumpur - Cheras,Apartment,3.0,1.0,2.0,670 sq.ft.,Kuala Lumpur
Majestic Maxim,1400,Kuala Lumpur - Cheras,Service Residence,2.0,2.0,2.0,650 sq.ft.,Kuala Lumpur
Majestic Maxim,1300,Kuala Lumpur - Cheras,Service Residence,2.0,2.0,2.0,650 sq.ft.,Kuala Lumpur
Majestic Maxim,1400,Kuala Lumpur - Cheras,Service Residence,2.0,2.0,2.0,650 sq.ft.,Kuala Lumpur
Aliran Damai Apartments,650,Kuala Lumpur - Cheras,Apartment,3.0,,2.0,700 sq.ft.,Kuala Lumpur
Pangsapuri Cemara (Cheras),1200,Kuala Lumpur - Cheras,Apartment,3.0,1.0,2.0,750 sq.ft.,Kuala Lumpur
Majestic Maxim,1600,Kuala Lumpur - Cheras,Service Residence,2.0,1.0,2.0,650 sq.ft.,Kuala Lumpur
Majestic Maxim,1500,Kuala Lumpur - Cheras,Service Residence,2.0,1.0,2.0,650 sq.ft.,Kuala Lumpur
Residensi Puchongmas,1400,Kuala Lumpur - Puchong,Condominium,3.0,1.0,2.0,900 sq.ft.,Kuala Lumpur
The Holmes 2,1700,Kuala Lumpur - Cheras,Condominium,3.0,2.0,2.0,1106 sq.ft.,Kuala Lumpur
Warisan City View,700,Kuala Lumpur - Cheras,Condominium,3.0,,2.0,910 sq.ft.,Kuala Lumpur
J.dupion,3099,Kuala Lumpur - Cheras,Condominium,3.0,2.0,2.0,1125 sq.ft.,Kuala Lumpur
Ativo Suites @ Damansara Avenue,1800,Kuala Lumpur - Sri Damansara,Service Residence,1.0,1.0,1.0,750 sq.ft.,Kuala Lumpur
Lavile,1250,Kuala Lumpur - Cheras,Service Residence,1.0,,1.0,250 sq.ft.,Kuala Lumpur
"D'Sand Residence, Old Klang Road, KL Eco City",2200,Kuala Lumpur - Old Klang Road,Condominium,3.0,2.0,2.0,1084 sq.ft.,Kuala Lumpur
UNA Serviced Apartment @ Peel,3299,Kuala Lumpur - Cheras,Service Residence,3.0,2.0,2.0,1055 sq.ft.,Kuala Lumpur
PV9 Residences @ Taman Melati,650,Kuala Lumpur - Setapak,Service Residence,4.0,1.0,2.0,850 sq.ft.,Kuala Lumpur
Majestic Maxim,1400,Kuala Lumpur - Cheras,Service Residence,2.0,2.0,2.0,650 sq.ft.,Kuala Lumpur
Casa Ria (Cheras),1300,Kuala Lumpur - Cheras,Condominium,3.0,1.0,2.0,1100 sq.ft.,Kuala Lumpur
Bam Villa,1350,Kuala Lumpur - Cheras,Condominium,2.0,1.0,2.0,971 sq.ft.,Kuala Lumpur
PV9 Residences @ Taman Melati,1650,Kuala Lumpur - Setapak,Service Residence,3.0,1.0,2.0,885 sq.ft.,Kuala Lumpur
Residensi Wirajaya 2 Taman Melati,1700,Kuala Lumpur - Setapak,Apartment,3.0,1.0,2.0,850 sq.ft.,Kuala Lumpur
Shamelin Bestari,1600,Kuala Lumpur - Cheras,Condominium,3.0,1.0,2.0,1000 sq.ft.,Kuala Lumpur
M3 Residency,1700,Kuala Lumpur - Setapak,Service Residence,3.0,1.0,2.0,950 sq.ft.,Kuala Lumpur
Taman Sri Sentosa,1200,Kuala Lumpur - Old Klang Road,Apartment,3.0,,2.0,800 sq.ft.,Kuala Lumpur
PV9 Residences @ Taman Melati,2100,Kuala Lumpur - Setapak,Condominium,3.0,2.0,2.0,1000 sq.ft.,Kuala Lumpur
Pangsapuri Sri Penara,900,Kuala Lumpur - Cheras,Flat,3.0,1.0,2.0,650 sq.ft.,Kuala Lumpur
PV9 Residences @ Taman Melati,1450,Kuala Lumpur - Setapak,Service Residence,3.0,2.0,2.0,850 sq.ft.,Kuala Lumpur
Zen Suites @ Zetapark,1200,Kuala Lumpur - Setapak,Service Residence,1.0,1.0,1.0,618 sq.ft.,Kuala Lumpur
The Holmes 2,1600,Kuala Lumpur - Cheras,Condominium,3.0,2.0,2.0,943 sq.ft.,Kuala Lumpur
Teratai Mewah Condominium,1600,Kuala Lumpur - Setapak,Condominium,3.0,1.0,2.0,997 sq.ft.,Kuala Lumpur
Lavile,3000,Kuala Lumpur - Cheras,Service Residence,3.0,2.0,2.0,864 sq.ft.,Kuala Lumpur
Teratai Mewah Apartment,1300,Kuala Lumpur - Setapak,Apartment,3.0,,2.0,910 sq.ft.,Kuala Lumpur
Lavile,3300,Kuala Lumpur - Cheras,Service Residence,3.0,1.0,2.0,862 sq.ft.,Kuala Lumpur
Pandan Court,1550,Kuala Lumpur - Ampang,Apartment,3.0,1.0,2.0,828 sq.ft.,Kuala Lumpur
Megan Setapak,1300,Kuala Lumpur - Setapak,Flat,3.0,,2.0,850 sq.ft.,Kuala Lumpur
Southbank Residence,2000,Kuala Lumpur - Old Klang Road,Service Residence,3.0,1.0,2.0,953 sq.ft.,Kuala Lumpur
Majestic Maxim,1400,Kuala Lumpur - Cheras,Service Residence,2.0,2.0,2.0,650 sq.ft.,Kuala Lumpur
Lavile,3700,Kuala Lumpur - Cheras,Service Residence,3.0,1.0,2.0,956 sq.ft.,Kuala Lumpur
The Holmes 2,1700,Kuala Lumpur - Cheras,Condominium,3.0,2.0,2.0,979 sq.ft.,Kuala Lumpur
Lavile,2500,Kuala Lumpur - Cheras,Service Residence,3.0,1.0,2.0,840 sq.ft.,Kuala Lumpur
Residensi Puchongmas,1100,Kuala Lumpur - Puchong,Condominium,3.0,2.0,2.0,900 sq.ft.,Kuala Lumpur
Seri Puteri Condominium,1600,Kuala Lumpur - Cheras,Condominium,3.0,1.0,3.0,1010 sq.ft.,Kuala Lumpur
Maxim Residences,1400,Kuala Lumpur - Cheras,Service Residence,3.0,2.0,2.0,1050 sq.ft.,Kuala Lumpur
Maxim Residences,2000,Kuala Lumpur - Cheras,Condominium,3.0,1.0,2.0,825 sq.ft.,Kuala Lumpur
Taman Sri Sentosa,800,Kuala Lumpur - Old Klang Road,Apartment,3.0,,2.0,700 sq.ft.,Kuala Lumpur
Majestic Maxim,1900,Kuala Lumpur - Cheras,Service Residence,3.0,1.0,2.0,820 sq.ft.,Kuala Lumpur
V Residence Suites,2700,Kuala Lumpur - Cheras,Service Residence,2.0,1.0,1.0,694 sq.ft.,Kuala Lumpur
1C Pinang (Taman Sri Sentosa),1109,Kuala Lumpur - Old Klang Road,Apartment,3.0,1.0,2.0,900 sq.ft.,Kuala Lumpur
Ketumbar Hill,1350,Kuala Lumpur - Cheras,Condominium,3.0,1.0,2.0,930 sq.ft.,Kuala Lumpur
M3 Residency,1700,Kuala Lumpur - Setapak,Service Residence,3.0,1.0,2.0,950 sq.ft.,Kuala Lumpur
Twinz Residences,2000,Kuala Lumpur - Puchong,Service Residence,3.0,2.0,2.0,1226 sq.ft.,Kuala Lumpur
Brem Park 1,1500,Kuala Lumpur - Old Klang Road,Condominium,3.0,1.0,2.0,1600 sq.ft.,Kuala Lumpur
Vista Langkawi @ PV18,1500,Kuala Lumpur - Setapak,Service Residence,3.0,1.0,2.0,926 sq.ft.,Kuala Lumpur
Platinum Hill PV 5,1600,Kuala Lumpur - Setapak,Condominium,4.0,1.0,2.0,1272 sq.ft.,Kuala Lumpur
Majestic Maxim,1200,Kuala Lumpur - Cheras,Service Residence,2.0,1.0,2.0,650 sq.ft.,Kuala Lumpur
Lavile,2700,Kuala Lumpur - Cheras,Service Residence,3.0,1.0,2.0,864 sq.ft.,Kuala Lumpur
Putra Villa,1500,Kuala Lumpur - Setapak,Condominium,3.0,1.0,2.0,1100 sq.ft.,Kuala Lumpur
Residensi Akasia Permaisuri,1400,Kuala Lumpur - Cheras,Apartment,3.0,1.0,2.0,807 sq.ft.,Kuala Lumpur
Mentari Condominium,1700,Kuala Lumpur - Cheras,Condominium,3.0,1.0,2.0,1025 sq.ft.,Kuala Lumpur
Mentari Condominium,1500,Kuala Lumpur - Cheras,Condominium,3.0,1.0,2.0,1050 sq.ft.,Kuala Lumpur
The Ridge @ KL East,2450,Kuala Lumpur - Ampang,Service Residence,2.0,2.0,2.0,990 sq.ft.,Kuala Lumpur
"SkyAwani 3 Residence, Setapak",1200,Kuala Lumpur - Setapak,Condominium,3.0,1.0,2.0,800 sq.ft.,Kuala Lumpur
Serini Melawati,3000,Kuala Lumpur - Taman Melawati,Service Residence,3.0,2.0,2.0,1099 sq.ft.,Kuala Lumpur
Majestic Maxim,1300,Kuala Lumpur - Cheras,Service Residence,2.0,2.0,2.0,650 sq.ft.,Kuala Lumpur
Platinum Lake PV 20,1600,Kuala Lumpur - Setapak,Condominium,3.0,2.0,2.0,1333 sq.ft.,Kuala Lumpur
Majestic Maxim,1400,Kuala Lumpur - Cheras,Service Residence,2.0,2.0,2.0,650 sq.ft.,Kuala Lumpur
3 Towers,1900,Kuala Lumpur - Ampang Hilir,Condominium,1.0,1.0,1.0,440 sq.ft.,Kuala Lumpur
Season Garden Residence,1700,Kuala Lumpur - Setapak,Condominium,4.0,1.0,2.0,850 sq.ft.,Kuala Lumpur
Tiara Mutiara 2,1500,Kuala Lumpur - Old Klang Road,Service Residence,3.0,,2.0,900 sq.ft.,Kuala Lumpur
Bayu Tasik 1,1500,Kuala Lumpur - Cheras,Condominium,3.0,,2.0,920 sq.ft.,Kuala Lumpur
Heritage Condominiun,1300,Kuala Lumpur - Setapak,Condominium,3.0,1.0,2.0,1300 sq.ft.,Kuala Lumpur
KL Traders Square Residences,2300,Kuala Lumpur - Gombak,Service Residence,4.0,1.0,2.0,940 sq.ft.,Kuala Lumpur
Sri Tioman II,1300,Kuala Lumpur - Setapak,Apartment,2.0,1.0,1.0,581 sq.ft.,Kuala Lumpur
Vista Amani,1500,Kuala Lumpur - Cheras,Condominium,4.0,1.0,2.0,1101 sq.ft.,Kuala Lumpur
3 Residen,2600,Kuala Lumpur - Taman Melawati,Condominium,2.0,2.0,2.0,1206 sq.ft.,Kuala Lumpur
Emerald Hills,1900,Kuala Lumpur - Cheras,Condominium,2.0,2.0,2.0,893 sq.ft.,Kuala Lumpur
Connaught Avenue,1300,Kuala Lumpur - Cheras,Service Residence,3.0,1.0,2.0,950 sq.ft.,Kuala Lumpur
Pandan Perdana,800,Kuala Lumpur - Ampang,Flat,2.0,,1.0,600 sq.ft.,Kuala Lumpur
Monte Bayu,1700,Kuala Lumpur - Cheras,Condominium,3.0,,2.0,1400 sq.ft.,Kuala Lumpur
Prima Midah Heights,1600,Kuala Lumpur - Cheras,Condominium,4.0,2.0,2.0,1500 sq.ft.,Kuala Lumpur
KL Traders Square Residences,1500,Kuala Lumpur - Gombak,Service Residence,4.0,,2.0,940 sq.ft.,Kuala Lumpur
Majestic Maxim,1400,Kuala Lumpur - Cheras,Service Residence,2.0,1.0,2.0,650 sq.ft.,Kuala Lumpur
Vila Vista,5800,Kuala Lumpur - Cheras,Condominium,4.0,3.0,5.0,3223 sq.ft.,Kuala Lumpur
Dahlia Apartment (Ampang),1100,Kuala Lumpur - Ampang,Apartment,3.0,1.0,2.0,782 sq.ft.,Kuala Lumpur
D'Suria Condominium,2400,Kuala Lumpur - Ampang,Condominium,3.0,1.0,2.0,1060 sq.ft.,Kuala Lumpur
Residency V,2200,Kuala Lumpur - Old Klang Road,Service Residence,3.0,2.0,2.0,990 sq.ft.,Kuala Lumpur
Reizz Residence,2400,Kuala Lumpur - Ampang Hilir,Service Residence,2.0,1.0,2.0,845 sq.ft.,Kuala Lumpur
Saville,1600,Kuala Lumpur - Taman Melawati,Service Residence,3.0,1.0,2.0,980 sq.ft.,Kuala Lumpur
Majestic Maxim,1600,Kuala Lumpur - Cheras,Service Residence,3.0,1.0,2.0,819 sq.ft.,Kuala Lumpur
Residensi PV 9 ,2200,Kuala Lumpur - Setapak,Condominium,3.0,1.0,2.0,1000 sq.ft.,Kuala Lumpur
Sutera Maya,1600,Kuala Lumpur - Old Klang Road,Condominium,3.0,2.0,2.0,1350 sq.ft.,Kuala Lumpur
Saville,1700,Kuala Lumpur - Taman Melawati,Service Residence,3.0,,2.0,980 sq.ft.,Kuala Lumpur
Taman Setapak Indah Fasa 7,1000,Kuala Lumpur - Setapak,Flat,3.0,1.0,2.0,650 sq.ft.,Kuala Lumpur
sky awani 3,1300,Kuala Lumpur - Setapak,Condominium,3.0,1.0,2.0,850 sq.ft.,Kuala Lumpur
